measure_full,value,proj_desc,proj_inum,data_year,direction,measure,xticnames
NORTHBOUNDhavg_spd_worst4hrs,18.87661041013373,Auburn Blvd- Watt Ave to Madison Ave,11,2016,NORTHBOUND,havg_spd_worst4hrs,"Avg Speed, Slowest 4 hrs"
NORTHBOUNDlottr_ampk,1.434498233380497,Auburn Blvd- Watt Ave to Madison Ave,11,2016,NORTHBOUND,lottr_ampk,M-F 6a-10a
NORTHBOUNDlottr_md,1.4003887846017127,Auburn Blvd- Watt Ave to Madison Ave,11,2016,NORTHBOUND,lottr_md,M-F 10a-4p
NORTHBOUNDlottr_pmpk,1.4716061563598815,Auburn Blvd- Watt Ave to Madison Ave,11,2016,NORTHBOUND,lottr_pmpk,M-F 4p-8p
NORTHBOUNDlottr_wknd,1.3942116053040752,Auburn Blvd- Watt Ave to Madison Ave,11,2016,NORTHBOUND,lottr_wknd,Sat-Sun 6a-8p
SOUTHBOUND_calc_len,13734.161188304373,Auburn Blvd- Watt Ave to Madison Ave,11,2016,SOUTHBOUND,_calc_len,_calc_len
SOUTHBOUNDff_speed_art60thp,36.58466241301315,Auburn Blvd- Watt Ave to Madison Ave,11,2016,SOUTHBOUND,ff_speed_art60thp,ff_speed_art60thp
SOUTHBOUNDhavg_spd_worst4hrs,19.50064170415481,Auburn Blvd- Watt Ave to Madison Ave,11,2016,SOUTHBOUND,havg_spd_worst4hrs,"Avg Speed, Slowest 4 hrs"
SOUTHBOUNDlottr_ampk,1.4697047028489771,Auburn Blvd- Watt Ave to Madison Ave,11,2016,SOUTHBOUND,lottr_ampk,M-F 6a-10a
SOUTHBOUNDlottr_md,1.3898039609616553,Auburn Blvd- Watt Ave to Madison Ave,11,2016,SOUTHBOUND,lottr_md,M-F 10a-4p
SOUTHBOUNDlottr_pmpk,1.5310581569273771,Auburn Blvd- Watt Ave to Madison Ave,11,2016,SOUTHBOUND,lottr_pmpk,M-F 4p-8p
SOUTHBOUNDlottr_wknd,1.3678694483726006,Auburn Blvd- Watt Ave to Madison Ave,11,2016,SOUTHBOUND,lottr_wknd,Sat-Sun 6a-8p
NORTHBOUND_calc_len,13489.352068356497,Sunrise Blvd- Madison Ave to Gold Country Blvd,12,2016,NORTHBOUND,_calc_len,_calc_len
NORTHBOUNDff_speed_art60thp,42.426178220741384,Sunrise Blvd- Madison Ave to Gold Country Blvd,12,2016,NORTHBOUND,ff_speed_art60thp,ff_speed_art60thp
NORTHBOUNDhavg_spd_worst4hrs,23.918364676816402,Sunrise Blvd- Madison Ave to Gold Country Blvd,12,2016,NORTHBOUND,havg_spd_worst4hrs,"Avg Speed, Slowest 4 hrs"
NORTHBOUNDlottr_ampk,1.1629247853278624,Sunrise Blvd- Madison Ave to Gold Country Blvd,12,2016,NORTHBOUND,lottr_ampk,M-F 6a-10a
NORTHBOUNDlottr_md,1.2063387385402213,Sunrise Blvd- Madison Ave to Gold Country Blvd,12,2016,NORTHBOUND,lottr_md,M-F 10a-4p
NORTHBOUNDlottr_pmpk,1.3125282227086066,Sunrise Blvd- Madison Ave to Gold Country Blvd,12,2016,NORTHBOUND,lottr_pmpk,M-F 4p-8p
NORTHBOUNDlottr_wknd,1.253215373928369,Sunrise Blvd- Madison Ave to Gold Country Blvd,12,2016,NORTHBOUND,lottr_wknd,Sat-Sun 6a-8p
SOUTHBOUND_calc_len,13489.352068273904,Sunrise Blvd- Madison Ave to Gold Country Blvd,12,2016,SOUTHBOUND,_calc_len,_calc_len
SOUTHBOUNDff_speed_art60thp,44.035068800290574,Sunrise Blvd- Madison Ave to Gold Country Blvd,12,2016,SOUTHBOUND,ff_speed_art60thp,ff_speed_art60thp
SOUTHBOUNDhavg_spd_worst4hrs,21.448648932214624,Sunrise Blvd- Madison Ave to Gold Country Blvd,12,2016,SOUTHBOUND,havg_spd_worst4hrs,"Avg Speed, Slowest 4 hrs"
SOUTHBOUNDlottr_ampk,1.692406943869035,Sunrise Blvd- Madison Ave to Gold Country Blvd,12,2016,SOUTHBOUND,lottr_ampk,M-F 6a-10a
SOUTHBOUNDlottr_md,1.2288251962739276,Sunrise Blvd- Madison Ave to Gold Country Blvd,12,2016,SOUTHBOUND,lottr_md,M-F 10a-4p
SOUTHBOUNDlottr_pmpk,1.2660028062966688,Sunrise Blvd- Madison Ave to Gold Country Blvd,12,2016,SOUTHBOUND,lottr_pmpk,M-F 4p-8p
SOUTHBOUNDlottr_wknd,1.2372882846290458,Sunrise Blvd- Madison Ave to Gold Country Blvd,12,2016,SOUTHBOUND,lottr_wknd,Sat-Sun 6a-8p
EASTBOUND_calc_len,24903.471600503577,Florin Road- Franklin Blvd to Elk Grove Florin Road-South Watt Ave,13,2016,EASTBOUND,_calc_len,_calc_len
EASTBOUNDff_speed_art60thp,34.632082546226954,Florin Road- Franklin Blvd to Elk Grove Florin Road-South Watt Ave,13,2016,EASTBOUND,ff_speed_art60thp,ff_speed_art60thp
EASTBOUNDhavg_spd_worst4hrs,19.23373197481069,Florin Road- Franklin Blvd to Elk Grove Florin Road-South Watt Ave,13,2016,EASTBOUND,havg_spd_worst4hrs,"Avg Speed, Slowest 4 hrs"
EASTBOUNDlottr_ampk,1.3585957998514644,Florin Road- Franklin Blvd to Elk Grove Florin Road-South Watt Ave,13,2016,EASTBOUND,lottr_ampk,M-F 6a-10a
EASTBOUNDlottr_md,1.3472566971289666,Florin Road- Franklin Blvd to Elk Grove Florin Road-South Watt Ave,13,2016,EASTBOUND,lottr_md,M-F 10a-4p
EASTBOUNDlottr_pmpk,1.3882258764491169,Florin Road- Franklin Blvd to Elk Grove Florin Road-South Watt Ave,13,2016,EASTBOUND,lottr_pmpk,M-F 4p-8p
EASTBOUNDlottr_wknd,1.3965691285788997,Florin Road- Franklin Blvd to Elk Grove Florin Road-South Watt Ave,13,2016,EASTBOUND,lottr_wknd,Sat-Sun 6a-8p
WESTBOUND_calc_len,24903.471599919627,Florin Road- Franklin Blvd to Elk Grove Florin Road-South Watt Ave,13,2016,WESTBOUND,_calc_len,_calc_len
WESTBOUNDff_speed_art60thp,33.3095333183374,Florin Road- Franklin Blvd to Elk Grove Florin Road-South Watt Ave,13,2016,WESTBOUND,ff_speed_art60thp,ff_speed_art60thp
WESTBOUNDhavg_spd_worst4hrs,18.48563687828792,Florin Road- Franklin Blvd to Elk Grove Florin Road-South Watt Ave,13,2016,WESTBOUND,havg_spd_worst4hrs,"Avg Speed, Slowest 4 hrs"
WESTBOUNDlottr_ampk,1.318785501179378,Florin Road- Franklin Blvd to Elk Grove Florin Road-South Watt Ave,13,2016,WESTBOUND,lottr_ampk,M-F 6a-10a
WESTBOUNDlottr_md,1.363133490715495,Florin Road- Franklin Blvd to Elk Grove Florin Road-South Watt Ave,13,2016,WESTBOUND,lottr_md,M-F 10a-4p
WESTBOUNDlottr_pmpk,1.4161554393606832,Florin Road- Franklin Blvd to Elk Grove Florin Road-South Watt Ave,13,2016,WESTBOUND,lottr_pmpk,M-F 4p-8p
WESTBOUNDlottr_wknd,1.4063584594375342,Florin Road- Franklin Blvd to Elk Grove Florin Road-South Watt Ave,13,2016,WESTBOUND,lottr_wknd,Sat-Sun 6a-8p
EASTBOUND_calc_len,11093.868258803293,US-50- I-5 to SR-99,14,2016,EASTBOUND,_calc_len,_calc_len
EASTBOUNDff_speed_art60thp,63.57698519089289,US-50- I-5 to SR-99,14,2016,EASTBOUND,ff_speed_art60thp,ff_speed_art60thp
EASTBOUNDhavg_spd_worst4hrs,30.898931017574444,US-50- I-5 to SR-99,14,2016,EASTBOUND,havg_spd_worst4hrs,"Avg Speed, Slowest 4 hrs"
EASTBOUNDlottr_ampk,1.1421643385790134,US-50- I-5 to SR-99,14,2016,EASTBOUND,lottr_ampk,M-F 6a-10a
EASTBOUNDlottr_md,1.1104864487539428,US-50- I-5 to SR-99,14,2016,EASTBOUND,lottr_md,M-F 10a-4p
EASTBOUNDlottr_pmpk,2.162770301850034,US-50- I-5 to SR-99,14,2016,EASTBOUND,lottr_pmpk,M-F 4p-8p
EASTBOUNDlottr_wknd,1.0579981436644943,US-50- I-5 to SR-99,14,2016,EASTBOUND,lottr_wknd,Sat-Sun 6a-8p
WESTBOUND_calc_len,5884.786573785055,US-50- I-5 to SR-99,14,2016,WESTBOUND,_calc_len,_calc_len
WESTBOUNDff_speed_art60thp,63.41897297187677,US-50- I-5 to SR-99,14,2016,WESTBOUND,ff_speed_art60thp,ff_speed_art60thp
WESTBOUNDhavg_spd_worst4hrs,28.92062430173319,US-50- I-5 to SR-99,14,2016,WESTBOUND,havg_spd_worst4hrs,"Avg Speed, Slowest 4 hrs"
WESTBOUNDlottr_ampk,1.3738393392433306,US-50- I-5 to SR-99,14,2016,WESTBOUND,lottr_ampk,M-F 6a-10a
WESTBOUNDlottr_md,1.1330314427627537,US-50- I-5 to SR-99,14,2016,WESTBOUND,lottr_md,M-F 10a-4p
WESTBOUNDlottr_pmpk,2.2436489087373146,US-50- I-5 to SR-99,14,2016,WESTBOUND,lottr_pmpk,M-F 4p-8p
WESTBOUNDlottr_wknd,1.0725971694967074,US-50- I-5 to SR-99,14,2016,WESTBOUND,lottr_wknd,Sat-Sun 6a-8p
EASTBOUND_calc_len,28172.991048193995,US-50- SR-99 to Watt Avenue,15,2016,EASTBOUND,_calc_len,_calc_len
EASTBOUNDff_speed_art60thp,68.05862828259596,US-50- SR-99 to Watt Avenue,15,2016,EASTBOUND,ff_speed_art60thp,ff_speed_art60thp
EASTBOUNDhavg_spd_worst4hrs,41.2284088328968,US-50- SR-99 to Watt Avenue,15,2016,EASTBOUND,havg_spd_worst4hrs,"Avg Speed, Slowest 4 hrs"
EASTBOUNDlottr_ampk,1.1711642116650853,US-50- SR-99 to Watt Avenue,15,2016,EASTBOUND,lottr_ampk,M-F 6a-10a
EASTBOUNDlottr_md,1.0438040589937223,US-50- SR-99 to Watt Avenue,15,2016,EASTBOUND,lottr_md,M-F 10a-4p
EASTBOUNDlottr_pmpk,1.6221066804761621,US-50- SR-99 to Watt Avenue,15,2016,EASTBOUND,lottr_pmpk,M-F 4p-8p
EASTBOUNDlottr_wknd,1.0554854921323191,US-50- SR-99 to Watt Avenue,15,2016,EASTBOUND,lottr_wknd,Sat-Sun 6a-8p
WESTBOUND_calc_len,26675.52664253881,US-50- SR-99 to Watt Avenue,15,2016,WESTBOUND,_calc_len,_calc_len
WESTBOUNDff_speed_art60thp,67.21298159524125,US-50- SR-99 to Watt Avenue,15,2016,WESTBOUND,ff_speed_art60thp,ff_speed_art60thp
WESTBOUNDhavg_spd_worst4hrs,31.96064387706825,US-50- SR-99 to Watt Avenue,15,2016,WESTBOUND,havg_spd_worst4hrs,"Avg Speed, Slowest 4 hrs"
WESTBOUNDlottr_ampk,1.5589988225630793,US-50- SR-99 to Watt Avenue,15,2016,WESTBOUND,lottr_ampk,M-F 6a-10a
WESTBOUNDlottr_md,1.192065064758008,US-50- SR-99 to Watt Avenue,15,2016,WESTBOUND,lottr_md,M-F 10a-4p
WESTBOUNDlottr_pmpk,2.0491963745724453,US-50- SR-99 to Watt Avenue,15,2016,WESTBOUND,lottr_pmpk,M-F 4p-8p
WESTBOUNDlottr_wknd,1.060801399619105,US-50- SR-99 to Watt Avenue,15,2016,WESTBOUND,lottr_wknd,Sat-Sun 6a-8p
EASTBOUND_calc_len,41570.24681430079,SR-51- US-50 to I-80,16,2016,EASTBOUND,_calc_len,_calc_len
EASTBOUNDff_speed_art60thp,63.419837173157305,SR-51- US-50 to I-80,16,2016,EASTBOUND,ff_speed_art60thp,ff_speed_art60thp
EASTBOUNDhavg_spd_worst4hrs,26.588564236509995,SR-51- US-50 to I-80,16,2016,EASTBOUND,havg_spd_worst4hrs,"Avg Speed, Slowest 4 hrs"
EASTBOUNDlottr_ampk,1.1429971994902393,SR-51- US-50 to I-80,16,2016,EASTBOUND,lottr_ampk,M-F 6a-10a
EASTBOUNDlottr_md,1.221093867336279,SR-51- US-50 to I-80,16,2016,EASTBOUND,lottr_md,M-F 10a-4p
EASTBOUNDlottr_pmpk,1.7512163122098516,SR-51- US-50 to I-80,16,2016,EASTBOUND,lottr_pmpk,M-F 4p-8p
EASTBOUNDlottr_wknd,1.5165000782597176,SR-51- US-50 to I-80,16,2016,EASTBOUND,lottr_wknd,Sat-Sun 6a-8p
WESTBOUND_calc_len,32777.030924441846,SR-51- US-50 to I-80,16,2016,WESTBOUND,_calc_len,_calc_len
WESTBOUNDff_speed_art60thp,63.60705937801515,SR-51- US-50 to I-80,16,2016,WESTBOUND,ff_speed_art60thp,ff_speed_art60thp
WESTBOUNDhavg_spd_worst4hrs,31.43132384728651,SR-51- US-50 to I-80,16,2016,WESTBOUND,havg_spd_worst4hrs,"Avg Speed, Slowest 4 hrs"
WESTBOUNDlottr_ampk,1.4204531171872994,SR-51- US-50 to I-80,16,2016,WESTBOUND,lottr_ampk,M-F 6a-10a
WESTBOUNDlottr_md,1.2303050405429534,SR-51- US-50 to I-80,16,2016,WESTBOUND,lottr_md,M-F 10a-4p
WESTBOUNDlottr_pmpk,1.3393569732374693,SR-51- US-50 to I-80,16,2016,WESTBOUND,lottr_pmpk,M-F 4p-8p
WESTBOUNDlottr_wknd,1.3102842066776856,SR-51- US-50 to I-80,16,2016,WESTBOUND,lottr_wknd,Sat-Sun 6a-8p
NORTHBOUND_calc_len,11067.891444884866,I-5- US-50 to Richards Blvd,17,2016,NORTHBOUND,_calc_len,_calc_len
NORTHBOUNDff_speed_art60thp,60.79181121169256,I-5- US-50 to Richards Blvd,17,2016,NORTHBOUND,ff_speed_art60thp,ff_speed_art60thp
NORTHBOUNDhavg_spd_worst4hrs,30.041605237276876,I-5- US-50 to Richards Blvd,17,2016,NORTHBOUND,havg_spd_worst4hrs,"Avg Speed, Slowest 4 hrs"
NORTHBOUNDlottr_ampk,1.1186987882750885,I-5- US-50 to Richards Blvd,17,2016,NORTHBOUND,lottr_ampk,M-F 6a-10a
NORTHBOUNDlottr_md,1.0293456843810833,I-5- US-50 to Richards Blvd,17,2016,NORTHBOUND,lottr_md,M-F 10a-4p
NORTHBOUNDlottr_pmpk,2.058452388047071,I-5- US-50 to Richards Blvd,17,2016,NORTHBOUND,lottr_pmpk,M-F 4p-8p
NORTHBOUNDlottr_wknd,1.0282200709375293,I-5- US-50 to Richards Blvd,17,2016,NORTHBOUND,lottr_wknd,Sat-Sun 6a-8p
SOUTHBOUND_calc_len,9712.853462994284,I-5- US-50 to Richards Blvd,17,2016,SOUTHBOUND,_calc_len,_calc_len
SOUTHBOUNDff_speed_art60thp,60.90994989253223,I-5- US-50 to Richards Blvd,17,2016,SOUTHBOUND,ff_speed_art60thp,ff_speed_art60thp
SOUTHBOUNDhavg_spd_worst4hrs,28.038720353001374,I-5- US-50 to Richards Blvd,17,2016,SOUTHBOUND,havg_spd_worst4hrs,"Avg Speed, Slowest 4 hrs"
SOUTHBOUNDlottr_ampk,1.1239521492699753,I-5- US-50 to Richards Blvd,17,2016,SOUTHBOUND,lottr_ampk,M-F 6a-10a
SOUTHBOUNDlottr_md,1.1396101958264782,I-5- US-50 to Richards Blvd,17,2016,SOUTHBOUND,lottr_md,M-F 10a-4p
SOUTHBOUNDlottr_pmpk,2.6555138743569593,I-5- US-50 to Richards Blvd,17,2016,SOUTHBOUND,lottr_pmpk,M-F 4p-8p
SOUTHBOUNDlottr_wknd,1.0305550913103674,I-5- US-50 to Richards Blvd,17,2016,SOUTHBOUND,lottr_wknd,Sat-Sun 6a-8p
EASTBOUND_calc_len,6060.002442797001,SR-70- Beale Rd to 12th St,18,2016,EASTBOUND,_calc_len,_calc_len
EASTBOUNDff_speed_art60thp,48.28750019,SR-70- Beale Rd to 12th St,18,2016,EASTBOUND,ff_speed_art60thp,ff_speed_art60thp
EASTBOUNDhavg_spd_worst4hrs,17.56130405,SR-70- Beale Rd to 12th St,18,2016,EASTBOUND,havg_spd_worst4hrs,"Avg Speed, Slowest 4 hrs"
EASTBOUNDlottr_ampk,1.329135537,SR-70- Beale Rd to 12th St,18,2016,EASTBOUND,lottr_ampk,M-F 6a-10a
EASTBOUNDlottr_md,1.388555408,SR-70- Beale Rd to 12th St,18,2016,EASTBOUND,lottr_md,M-F 10a-4p
EASTBOUNDlottr_pmpk,1.8176634310000002,SR-70- Beale Rd to 12th St,18,2016,EASTBOUND,lottr_pmpk,M-F 4p-8p
EASTBOUNDlottr_wknd,1.378604054,SR-70- Beale Rd to 12th St,18,2016,EASTBOUND,lottr_wknd,Sat-Sun 6a-8p
WESTBOUND_calc_len,5961.463480926373,SR-70- Beale Rd to 12th St,18,2016,WESTBOUND,_calc_len,_calc_len
WESTBOUNDff_speed_art60thp,50.896999740000005,SR-70- Beale Rd to 12th St,18,2016,WESTBOUND,ff_speed_art60thp,ff_speed_art60thp
WESTBOUNDhavg_spd_worst4hrs,23.08201934,SR-70- Beale Rd to 12th St,18,2016,WESTBOUND,havg_spd_worst4hrs,"Avg Speed, Slowest 4 hrs"
WESTBOUNDlottr_ampk,1.257394433,SR-70- Beale Rd to 12th St,18,2016,WESTBOUND,lottr_ampk,M-F 6a-10a
WESTBOUNDlottr_md,1.329279304,SR-70- Beale Rd to 12th St,18,2016,WESTBOUND,lottr_md,M-F 10a-4p
WESTBOUNDlottr_pmpk,1.403495669,SR-70- Beale Rd to 12th St,18,2016,WESTBOUND,lottr_pmpk,M-F 4p-8p
WESTBOUNDlottr_wknd,1.374935031,SR-70- Beale Rd to 12th St,18,2016,WESTBOUND,lottr_wknd,Sat-Sun 6a-8p
EASTBOUND_calc_len,4976.621837102379,US-50- Mosquito Rd to Spring Street,19,2016,EASTBOUND,_calc_len,_calc_len
EASTBOUNDff_speed_art60thp,45.18308349828117,US-50- Mosquito Rd to Spring Street,19,2016,EASTBOUND,ff_speed_art60thp,ff_speed_art60thp
EASTBOUNDhavg_spd_worst4hrs,31.848979670035018,US-50- Mosquito Rd to Spring Street,19,2016,EASTBOUND,havg_spd_worst4hrs,"Avg Speed, Slowest 4 hrs"
EASTBOUNDlottr_ampk,1.2242486975947473,US-50- Mosquito Rd to Spring Street,19,2016,EASTBOUND,lottr_ampk,M-F 6a-10a
EASTBOUNDlottr_md,1.301208905320124,US-50- Mosquito Rd to Spring Street,19,2016,EASTBOUND,lottr_md,M-F 10a-4p
EASTBOUNDlottr_pmpk,1.2746499978202366,US-50- Mosquito Rd to Spring Street,19,2016,EASTBOUND,lottr_pmpk,M-F 4p-8p
EASTBOUNDlottr_wknd,1.2020713033683155,US-50- Mosquito Rd to Spring Street,19,2016,EASTBOUND,lottr_wknd,Sat-Sun 6a-8p
WESTBOUND_calc_len,4976.621837096503,US-50- Mosquito Rd to Spring Street,19,2016,WESTBOUND,_calc_len,_calc_len
WESTBOUNDff_speed_art60thp,44.46217417842289,US-50- Mosquito Rd to Spring Street,19,2016,WESTBOUND,ff_speed_art60thp,ff_speed_art60thp
WESTBOUNDhavg_spd_worst4hrs,21.05008196379561,US-50- Mosquito Rd to Spring Street,19,2016,WESTBOUND,havg_spd_worst4hrs,"Avg Speed, Slowest 4 hrs"
WESTBOUNDlottr_ampk,1.3278733002093104,US-50- Mosquito Rd to Spring Street,19,2016,WESTBOUND,lottr_ampk,M-F 6a-10a
WESTBOUNDlottr_md,1.4597961234884564,US-50- Mosquito Rd to Spring Street,19,2016,WESTBOUND,lottr_md,M-F 10a-4p
WESTBOUNDlottr_pmpk,1.3077607513791958,US-50- Mosquito Rd to Spring Street,19,2016,WESTBOUND,lottr_pmpk,M-F 4p-8p
WESTBOUNDlottr_wknd,1.877548456790401,US-50- Mosquito Rd to Spring Street,19,2016,WESTBOUND,lottr_wknd,Sat-Sun 6a-8p
SOUTHBOUND_calc_len,41086.354853709956,SR-99- Calvine Rd to US-50,20,2016,SOUTHBOUND,_calc_len,_calc_len
SOUTHBOUNDff_speed_art60thp,64.15115817664979,SR-99- Calvine Rd to US-50,20,2016,SOUTHBOUND,ff_speed_art60thp,ff_speed_art60thp
SOUTHBOUNDhavg_spd_worst4hrs,32.404778245174505,SR-99- Calvine Rd to US-50,20,2016,SOUTHBOUND,havg_spd_worst4hrs,"Avg Speed, Slowest 4 hrs"
SOUTHBOUNDlottr_ampk,1.0338789005605729,SR-99- Calvine Rd to US-50,20,2016,SOUTHBOUND,lottr_ampk,M-F 6a-10a
SOUTHBOUNDlottr_md,1.0704681070640714,SR-99- Calvine Rd to US-50,20,2016,SOUTHBOUND,lottr_md,M-F 10a-4p
SOUTHBOUNDlottr_pmpk,1.4768911437519467,SR-99- Calvine Rd to US-50,20,2016,SOUTHBOUND,lottr_pmpk,M-F 4p-8p
SOUTHBOUNDlottr_wknd,1.0478623319590508,SR-99- Calvine Rd to US-50,20,2016,SOUTHBOUND,lottr_wknd,Sat-Sun 6a-8p
NORTHBOUND_calc_len,41086.35485087924,SR-99- Calvine Rd to US-50,20,2016,NORTHBOUND,_calc_len,_calc_len
NORTHBOUNDff_speed_art60thp,64.2747002917037,SR-99- Calvine Rd to US-50,20,2016,NORTHBOUND,ff_speed_art60thp,ff_speed_art60thp
NORTHBOUNDhavg_spd_worst4hrs,35.786941758546256,SR-99- Calvine Rd to US-50,20,2016,NORTHBOUND,havg_spd_worst4hrs,"Avg Speed, Slowest 4 hrs"
NORTHBOUNDlottr_ampk,1.748766808458737,SR-99- Calvine Rd to US-50,20,2016,NORTHBOUND,lottr_ampk,M-F 6a-10a
NORTHBOUNDlottr_md,1.089228910383973,SR-99- Calvine Rd to US-50,20,2016,NORTHBOUND,lottr_md,M-F 10a-4p
NORTHBOUNDlottr_pmpk,1.0555892177066424,SR-99- Calvine Rd to US-50,20,2016,NORTHBOUND,lottr_pmpk,M-F 4p-8p
NORTHBOUNDlottr_wknd,1.0747440939614517,SR-99- Calvine Rd to US-50,20,2016,NORTHBOUND,lottr_wknd,Sat-Sun 6a-8p
NORTHBOUND_calc_len,10467.514385006896,I-5- Richards Bl. to I-80,21,2016,NORTHBOUND,_calc_len,_calc_len
NORTHBOUNDff_speed_art60thp,63.73474213753884,I-5- Richards Bl. to I-80,21,2016,NORTHBOUND,ff_speed_art60thp,ff_speed_art60thp
NORTHBOUNDhavg_spd_worst4hrs,51.272509720416615,I-5- Richards Bl. to I-80,21,2016,NORTHBOUND,havg_spd_worst4hrs,"Avg Speed, Slowest 4 hrs"
NORTHBOUNDlottr_ampk,1.0243977278795764,I-5- Richards Bl. to I-80,21,2016,NORTHBOUND,lottr_ampk,M-F 6a-10a
NORTHBOUNDlottr_md,1.023753629988034,I-5- Richards Bl. to I-80,21,2016,NORTHBOUND,lottr_md,M-F 10a-4p
NORTHBOUNDlottr_pmpk,1.1534812633500535,I-5- Richards Bl. to I-80,21,2016,NORTHBOUND,lottr_pmpk,M-F 4p-8p
NORTHBOUNDlottr_wknd,1.0250855601517501,I-5- Richards Bl. to I-80,21,2016,NORTHBOUND,lottr_wknd,Sat-Sun 6a-8p
SOUTHBOUND_calc_len,8445.952763255773,I-5- Richards Bl. to I-80,21,2016,SOUTHBOUND,_calc_len,_calc_len
SOUTHBOUNDff_speed_art60thp,63.10107838139936,I-5- Richards Bl. to I-80,21,2016,SOUTHBOUND,ff_speed_art60thp,ff_speed_art60thp
SOUTHBOUNDhavg_spd_worst4hrs,32.93978104972834,I-5- Richards Bl. to I-80,21,2016,SOUTHBOUND,havg_spd_worst4hrs,"Avg Speed, Slowest 4 hrs"
SOUTHBOUNDlottr_ampk,1.301540492927548,I-5- Richards Bl. to I-80,21,2016,SOUTHBOUND,lottr_ampk,M-F 6a-10a
SOUTHBOUNDlottr_md,1.0323716438947563,I-5- Richards Bl. to I-80,21,2016,SOUTHBOUND,lottr_md,M-F 10a-4p
SOUTHBOUNDlottr_pmpk,2.001212916199256,I-5- Richards Bl. to I-80,21,2016,SOUTHBOUND,lottr_pmpk,M-F 4p-8p
